Date,Crop_Type,Soil_pH,N,P,K,Soil_Quality,Crop_Yield,Year,Month,Day
2014-01-01,Wheat,5.5,60.50000000000001,45.0,31.5,22.83333333333333,37.09568400053546,2014,1,1
2014-01-01,Corn,6.5,84.0,66.0,50.0,66.66666666666667,104.87131032861858,2014,1,1
2014-01-01,Rice,5.5,71.5,54.0,38.5,27.33333333333333,40.78217749794564,2014,1,1
2014-01-01,Barley,6.75,50.0,40.0,30.0,35.0,58.93979633901676,2014,1,1
2014-01-01,Soybean,5.5,49.5,45.0,38.5,22.166666666666668,32.97041272118097,2014,1,1
2014-01-01,Cotton,6.75,55.00000000000001,44.0,36.0,39.375,29.35611549155564,2014,1,1
2014-01-01,Sugarcane,8.0,84.5,66.0,54.0,17.041666666666668,40.99907776761892,2014,1,1
2014-01-01,Tomato,6.25,60.0,45.0,40.0,42.29166666666667,22.221375114874576,2014,1,1
2014-01-01,Potato,5.5,60.50000000000001,45.0,31.5,22.83333333333333,54.25972686316481,2014,1,1
2014-01-01,Sunflower,6.5,70.0,66.0,55.00000000000001,63.66666666666666,68.11924993406157,2014,1,1
2014-01-02,Wheat,5.5,60.50000000000001,45.0,31.5,22.83333333333333,28.72353011550643,2014,1,2
2014-01-02,Corn,6.25,72.0,55.00000000000001,40.0,48.70833333333333,51.65627328069812,2014,1,2
2014-01-02,Rice,5.5,71.5,54.0,38.5,27.33333333333333,40.78217749794564,2014,1,2
2014-01-02,Barley,8.0,65.0,55.0,45.0,13.75,8.159006261940537,2014,1,2
2014-01-02,Soybean,5.5,49.5,45.0,38.5,22.166666666666668,36.92157381652276,2014,1,2
2014-01-02,Cotton,6.5,77.0,66.0,60.0,67.66666666666667,108.29273092196144,2014,1,2
2014-01-02,Sugarcane,6.25,78.0,60.0,48.0,54.25,40.99907776761892,2014,1,2
2014-01-02,Tomato,6.25,60.0,45.0,40.0,42.29166666666667,31.009610621508735,2014,1,2
2014-01-02,Potato,8.0,71.5,55.0,40.5,13.916666666666666,52.589621860831095,2014,1,2
2014-01-02,Sunflower,8.0,65.0,60.50000000000001,49.50000000000001,14.583333333333334,65.93659541111212,2014,1,2
2014-01-03,Wheat,6.5,77.0,60.0,45.0,60.66666666666666,37.09568400053546,2014,1,3
2014-01-03,Corn,5.5,66.0,49.50000000000001,35.0,25.08333333333333,22.325126643223808,2014,1,3
2014-01-03,Rice,8.0,84.5,66.0,49.50000000000001,16.666666666666668,40.78217749794564,2014,1,3
2014-01-03,Barley,6.5,70.0,60.0,50.0,60.0,81.29906551707641,2014,1,3
2014-01-03,Soybean,6.25,54.0,50.0,44.0,43.16666666666667,54.13286650296527,2014,1,3
2014-01-03,Cotton,5.5,60.50000000000001,49.50000000000001,42.0,25.33333333333333,39.1232360605833,2014,1,3
2014-01-03,Sugarcane,6.25,78.0,60.0,48.0,54.25,40.99907776761892,2014,1,3
2014-01-03,Tomato,6.5,70.0,54.0,50.0,58.0,19.466158350497768,2014,1,3
2014-01-03,Potato,6.75,55.00000000000001,40.0,27.0,35.58333333333333,3.2656457465653888,2014,1,3
2014-01-03,Sunflower,6.75,50.0,44.0,33.0,37.04166666666667,1.4646000454946262,2014,1,3
2014-01-04,Wheat,6.5,77.0,60.0,45.0,60.66666666666666,50.06652544236726,2014,1,4
2014-01-04,Corn,6.75,60.0,44.0,30.0,39.08333333333333,46.616259561457184,2014,1,4
2014-01-04,Rice,6.25,78.0,60.0,44.0,53.08333333333333,40.78217749794564,2014,1,4
2014-01-04,Barley,8.0,65.0,55.0,45.0,13.75,33.29445898862128,2014,1,4
2014-01-04,Soybean,6.25,54.0,50.0,44.0,43.16666666666667,36.92157381652276,2014,1,4
2014-01-04,Cotton,6.5,77.0,66.0,60.0,67.66666666666667,83.74058544645528,2014,1,4
2014-01-04,Sugarcane,8.0,84.5,66.0,54.0,17.041666666666668,45.86014921579415,2014,1,4
2014-01-04,Tomato,6.75,50.0,36.0,30.0,33.83333333333333,1.864858226250708,2014,1,4
2014-01-04,Potato,8.0,71.5,55.0,40.5,13.916666666666666,18.27876325168955,2014,1,4
2014-01-04,Sunflower,6.5,70.0,66.0,55.00000000000001,63.66666666666666,2.254674208267196,2014,1,4
2014-01-05,Wheat,6.75,55.00000000000001,40.0,27.0,35.58333333333333,2.1518180130853373,2014,1,5
2014-01-05,Corn,6.25,72.0,55.00000000000001,40.0,48.70833333333333,23.579096656968137,2014,1,5
2014-01-05,Rice,6.25,78.0,60.0,44.0,53.08333333333333,0.5669297945276307,2014,1,5
2014-01-05,Barley,6.5,70.0,60.0,50.0,60.0,61.85110775554646,2014,1,5
2014-01-05,Soybean,6.5,63.0,60.0,55.00000000000001,59.333333333333336,69.42289755965098,2014,1,5
2014-01-05,Cotton,5.5,60.50000000000001,49.50000000000001,42.0,25.33333333333333,44.40061127922674,2014,1,5
2014-01-05,Sugarcane,6.5,91.0,72.0,60.0,74.33333333333333,31.152430971059463,2014,1,5
2014-01-05,Tomato,6.5,70.0,54.0,50.0,58.0,32.44129403219623,2014,1,5
2014-01-05,Potato,6.75,55.00000000000001,40.0,27.0,35.58333333333333,27.500607590476307,2014,1,5
2014-01-05,Sunflower,6.5,70.0,66.0,55.00000000000001,63.66666666666666,39.42857006076496,2014,1,5
2014-01-06,Wheat,5.5,60.50000000000001,45.0,31.5,22.83333333333333,20.60231825170257,2014,1,6
2014-01-06,Corn,8.0,78.0,60.50000000000001,45.0,15.291666666666666,40.991761360765814,2014,1,6
2014-01-06,Rice,6.5,91.0,72.0,55.00000000000001,72.66666666666667,0.6898494419046514,2014,1,6
2014-01-06,Barley,8.0,65.0,55.0,45.0,13.75,6.483882013014096,2014,1,6
2014-01-06,Soybean,5.5,49.5,45.0,38.5,22.166666666666668,27.372616072547128,2014,1,6
2014-01-06,Cotton,8.0,71.5,60.50000000000001,54.0,15.5,56.93490185108868,2014,1,6
2014-01-06,Sugarcane,5.5,71.5,54.0,42.0,27.916666666666668,40.99907776761892,2014,1,6
2014-01-06,Tomato,6.25,60.0,45.0,40.0,42.29166666666667,29.764974326685262,2014,1,6
2014-01-06,Potato,6.25,66.0,50.0,36.0,44.33333333333333,51.32034861311793,2014,1,6
2014-01-06,Sunflower,6.25,60.0,55.00000000000001,44.0,46.375,9.939658216534644,2014,1,6
2014-01-07,Wheat,6.75,55.00000000000001,40.0,27.0,35.58333333333333,33.69840395636187,2014,1,7
2014-01-07,Corn,6.25,72.0,55.00000000000001,40.0,48.70833333333333,59.71061900499655,2014,1,7
2014-01-07,Rice,8.0,84.5,66.0,49.50000000000001,16.666666666666668,40.78217749794564,2014,1,7
2014-01-07,Barley,5.5,55.0,45.0,35.0,22.5,10.135818324693346,2014,1,7
2014-01-07,Soybean,6.5,63.0,60.0,55.00000000000001,59.333333333333336,31.906967721267574,2014,1,7
2014-01-07,Cotton,6.75,55.00000000000001,44.0,36.0,39.375,41.97961827024646,2014,1,7
2014-01-07,Sugarcane,6.75,65.0,48.0,36.0,43.45833333333333,40.99907776761892,2014,1,7
2014-01-07,Tomato,8.0,65.0,49.5,45.0,13.291666666666666,12.608628737682553,2014,1,7
2014-01-07,Potato,6.5,77.0,60.0,45.0,60.66666666666666,74.5764475921633,2014,1,7
2014-01-07,Sunflower,6.5,70.0,66.0,55.00000000000001,63.66666666666666,74.72880792976522,2014,1,7
2014-01-08,Wheat,5.5,60.50000000000001,45.0,31.5,22.83333333333333,4.598427035828945,2014,1,8
2014-01-08,Corn,6.75,60.0,44.0,30.0,39.08333333333333,9.939936909801649,2014,1,8
2014-01-08,Rice,6.25,78.0,60.0,44.0,53.08333333333333,40.78217749794564,2014,1,8
2014-01-08,Barley,8.0,65.0,55.0,45.0,13.75,25.40515212452463,2014,1,8
2014-01-08,Soybean,5.5,49.5,45.0,38.5,22.166666666666668,36.92157381652276,2014,1,8
2014-01-08,Cotton,5.5,60.50000000000001,49.50000000000001,42.0,25.33333333333333,6.05077969634733,2014,1,8
2014-01-08,Sugarcane,5.5,71.5,54.0,42.0,27.916666666666668,40.99907776761892,2014,1,8
2014-01-08,Tomato,6.25,60.0,45.0,40.0,42.29166666666667,32.44129403219623,2014,1,8
2014-01-08,Potato,6.25,66.0,50.0,36.0,44.33333333333333,43.15821942372489,2014,1,8
2014-01-08,Sunflower,6.25,60.0,55.00000000000001,44.0,46.375,51.33420343375804,2014,1,8
2014-01-09,Wheat,6.5,77.0,60.0,45.0,60.66666666666666,65.58931209911634,2014,1,9
2014-01-09,Corn,8.0,78.0,60.50000000000001,45.0,15.291666666666666,38.94700430472387,2014,1,9
2014-01-09,Rice,6.5,91.0,72.0,55.00000000000001,72.66666666666667,25.49960002176692,2014,1,9
2014-01-09,Barley,5.5,55.0,45.0,35.0,22.5,3.339937412435889,2014,1,9
2014-01-09,Soybean,6.75,45.0,40.0,33.0,34.41666666666667,36.92157381652276,2014,1,9
2014-01-09,Cotton,6.5,77.0,66.0,60.0,67.66666666666667,84.09294491993916,2014,1,9
2014-01-09,Sugarcane,8.0,84.5,66.0,54.0,17.041666666666668,18.77649982530085,2014,1,9
2014-01-09,Tomato,8.0,65.0,49.5,45.0,13.291666666666666,32.44129403219623,2014,1,9
2014-01-09,Potato,6.75,55.00000000000001,40.0,27.0,35.58333333333333,30.71580272764917,2014,1,9
2014-01-09,Sunflower,6.75,50.0,44.0,33.0,37.04166666666667,46.55497714190161,2014,1,9
2014-01-10,Wheat,8.0,71.5,55.0,40.5,13.916666666666666,47.1186396895767,2014,1,10
2014-01-10,Corn,6.75,60.0,44.0,30.0,39.08333333333333,75.52870067180932,2014,1,10
2014-01-10,Rice,6.75,65.0,48.0,33.0,42.58333333333333,24.41326635337319,2014,1,10
2014-01-10,Barley,5.5,55.0,45.0,35.0,22.5,25.98794450843104,2014,1,10
2014-01-10,Soybean,8.0,58.5,55.0,49.50000000000001,13.583333333333334,29.34521689300253,2014,1,10
2014-01-10,Cotton,8.0,71.5,60.50000000000001,54.0,15.5,43.91238015176775,2014,1,10
2014-01-10,Sugarcane,8.0,84.5,66.0,54.0,17.041666666666668,12.646138870181147,2014,1,10
2014-01-10,Tomato,6.75,50.0,36.0,30.0,33.83333333333333,13.945125375071612,2014,1,10
2014-01-10,Potato,6.25,66.0,50.0,36.0,44.33333333333333,37.40959035922203,2014,1,10
2014-01-10,Sunflower,5.5,55.0,49.50000000000001,38.5,23.83333333333333,34.729450166846235,2014,1,10
2014-01-11,Wheat,8.0,71.5,55.0,40.5,13.916666666666666,7.813979934924675,2014,1,11
2014-01-11,Corn,6.25,72.0,55.00000000000001,40.0,48.70833333333333,46.07741078794234,2014,1,11
2014-01-11,Rice,8.0,84.5,66.0,49.50000000000001,16.666666666666668,40.78217749794564,2014,1,11
2014-01-11,Barley,6.75,50.0,40.0,30.0,35.0,5.298909846807394,2014,1,11
2014-01-11,Soybean,6.75,45.0,40.0,33.0,34.41666666666667,36.92157381652276,2014,1,11
2014-01-11,Cotton,6.25,66.0,55.00000000000001,48.0,49.29166666666667,58.581163664269134,2014,1,11
2014-01-11,Sugarcane,8.0,84.5,66.0,54.0,17.041666666666668,28.07067229128127,2014,1,11
2014-01-11,Tomato,6.75,50.0,36.0,30.0,33.83333333333333,32.44129403219623,2014,1,11
2014-01-11,Potato,6.75,55.00000000000001,40.0,27.0,35.58333333333333,24.058366117294295,2014,1,11
2014-01-11,Sunflower,6.25,60.0,55.00000000000001,44.0,46.375,8.571736478292113,2014,1,11
2014-01-12,Wheat,6.25,66.0,50.0,36.0,44.33333333333333,7.61237563110036,2014,1,12
2014-01-12,Corn,6.5,84.0,66.0,50.0,66.66666666666667,13.586015126675544,2014,1,12
2014-01-12,Rice,6.75,65.0,48.0,33.0,42.58333333333333,56.03769136729424,2014,1,12
2014-01-12,Barley,6.5,70.0,60.0,50.0,60.0,30.80338267093942,2014,1,12
2014-01-12,Soybean,6.25,54.0,50.0,44.0,43.16666666666667,36.92157381652276,2014,1,12
2014-01-12,Cotton,6.25,66.0,55.00000000000001,48.0,49.29166666666667,25.181591946193155,2014,1,12
2014-01-12,Sugarcane,6.5,91.0,72.0,60.0,74.33333333333333,11.598348403571068,2014,1,12
